AC	RT	POR	SW	OIL
meter	meter	meter	meter	meter
533.1287	28.2243	49.887	95.9142	水层
525.4307	28.3344	49.6136	96.1692	水层
525.4307	28.3344	49.3402	96.4275	水层
525.4307	28.3344	49.0669	96.6891	水层
525.4307	28.3344	48.8699	96.7408	水层
519.8833	28.6613	48.6729	96.7944	水层
519.8833	28.6613	48.4759	96.85	水层
519.8833	28.6613	48.2789	96.9075	水层
519.8833	28.6613	47.9016	96.9548	水层
509.2585	29.4112	47.5243	97.0101	水层
509.2585	29.4112	47.147	97.0734	水层
509.2585	29.4112	46.7697	97.1449	水层
509.2585	29.4112	45.9032	97.5548	水层
484.8586	30.735	45.0367	98.0054	水层
484.8586	30.735	44.1703	98.4987	水层
484.8586	30.735	43.3038	99.0365	水层
484.8586	30.735	41.7412	99.9	水层
440.8569	32.6526	40.1787	99.9	水层
440.8569	32.6526	38.6161	99.9	水层
440.8569	32.6526	37.0535	99.9	水层
440.8569	32.6526	35.0722	99.9	水层
385.0623	35.2792	33.0909	99.9	水层
385.0623	35.2792	31.1095	99.9	水层
385.0623	35.2792	29.1282	99.9	水层
385.0623	35.2792	27.4391	99.9	水层
337.498	38.4801	25.75	99.9	水层
337.498	38.4801	24.061	99.9	水层
337.498	38.4801	22.3719	99.9	水层
337.498	38.4801	21.427	99.9	水层
310.8894	41.6558	20.4821	99.9	水层
310.8894	41.6558	19.5372	99.9	水层
310.8894	41.6558	18.5922	99.9	水层
310.8894	41.6558	18.314	99.9	水层
303.0547	44.1513	18.0358	99.9	水层
303.0547	44.1513	17.7576	99.9	水层
303.0547	44.1513	17.4794	99.9	水层
303.0547	44.1513	17.4833	99.9	水层
303.1667	45.7694	17.4873	99.9	水层
303.1667	45.7694	17.4913	99.9	水层
303.1667	45.7694	17.4953	99.9	水层
303.1667	45.7694	17.5747	99.9	水层
305.4033	46.9606	17.6541	99.9	水层
305.4033	46.9606	17.7335	99.9	水层
305.4033	46.9606	17.813	99.9	水层
305.4033	46.9606	18.0485	99.9	水层
312.0344	48.1928	18.2839	99.9	水层
312.0344	48.1928	18.5194	99.9	水层
312.0344	48.1928	18.7549	99.9	水层
312.0344	48.1928	19.2439	99.9	水层
325.8042	49.8471	19.7329	99.9	水层
325.8042	49.8471	20.2218	99.9	水层
325.8042	49.8471	20.7108	99.9	水层
325.8042	49.8471	21.2517	99.9	水层
341.0347	52.1745	21.7925	99.9	水层
341.0347	52.1745	22.3334	99.9	水层
341.0347	52.1745	22.8742	99.9	水层
341.0347	52.1745	23.1353	99.9	水层
348.386	54.99	23.3964	99.9	水层
348.386	54.99	23.6574	99.9	水层
348.386	54.99	23.9185	99.9	水层
348.386	54.99	23.7702	99.9	水层
344.2122	58.1369	23.622	99.9	水层
344.2122	58.1369	23.4738	99.9	水层
344.2122	58.1369	23.3256	99.9	水层
344.2122	58.1369	22.9044	99.9	水层
332.3501	61.6297	22.4831	99.9	水层
332.3501	61.6297	22.0619	99.9	水层
332.3501	61.6297	21.6406	99.9	水层
332.3501	61.6297	21.2558	99.9	水层
321.5139	64.4394	20.871	99.9	水层
321.5139	64.4394	20.4862	99.9	水层
321.5139	64.4394	20.1014	99.9	水层
321.5139	64.4394	19.9709	99.9	水层
317.8379	64.2946	19.8403	99.9	水层
317.8379	64.2946	19.7098	99.9	水层
317.8379	64.2946	19.5792	99.9	水层
317.8379	64.2946	19.8719	99.9	水层
326.0796	59.6558	20.1646	99.9	水层
326.0796	59.6558	20.4573	99.9	水层
326.0796	59.6558	20.7499	99.9	水层
326.0796	59.6558	21.6792	99.9	水层
352.2473	51.6641	22.6084	99.9	水层
352.2473	51.6641	23.5377	99.9	水层
352.2473	51.6641	24.4669	99.9	水层
352.2473	51.6641	26.0205	99.9	水层
395.9951	43.5478	27.574	99.9	水层
395.9951	43.5478	29.1276	99.9	水层
395.9951	43.5478	30.6811	99.6796	水层
395.9951	43.5478	31.7389	99.215	水层
